streamlit run dashboards/01-sales-performance/dashboard/app.py
order_id,order_date,region,segment,category,sub_category,sales,profit,discount,customer_id
ORD-10001,2025-01-03,East,Consumer,Technology,Phones,820,180,0.10,CUST-1001
ORD-10002,2025-01-04,West,Corporate,Furniture,Chairs,640,72,0.18,CUST-1002
ORD-10003,2025-01-05,Central,Home Office,Office Supplies,Paper,210,38,0.05,CUST-1003
ORD-10004,2025-01-06,South,Consumer,Technology,Accessories,330,44,0.12,CUST-1004
ORD-10005,2025-01-07,East,Corporate,Furniture,Tables,910,40,0.30,CUST-1005
ORD-10006,2025-01-08,West,Consumer,Office Supplies,Binders,290,36,0.08,CUST-1006
ORD-10007,2025-01-09,Central,Corporate,Technology,Copiers,1250,290,0.06,CUST-1007
ORD-10008,2025-01-10,South,Home Office,Furniture,Bookcases,560,48,0.20,CUST-1008
ORD-10009,2025-01-11,East,Consumer,Office Supplies,Storage,370,52,0.10,CUST-1009
ORD-10010,2025-01-12,West,Corporate,Technology,Phones,980,210,0.09,CUST-1010
ORD-10011,2025-01-13,Central,Consumer,Furniture,Chairs,450,58,0.14,CUST-1011
ORD-10012,2025-01-14,South,Corporate,Office Supplies,Paper,260,42,0.04,CUST-1012
ORD-10013,2025-01-15,East,Home Office,Technology,Accessories,410,60,0.07,CUST-1013
ORD-10014,2025-01-16,West,Consumer,Furniture,Tables,740,28,0.32,CUST-1014
ORD-10015,2025-01-17,Central,Corporate,Office Supplies,Binders,300,32,0.11,CUST-1015
ORD-10016,2025-01-18,South,Consumer,Technology,Copiers,1320,300,0.05,CUST-1016
ORD-10017,2025-01-19,East,Corporate,Furniture,Bookcases,590,54,0.16,CUST-1017
ORD-10018,2025-01-20,West,Home Office,Office Supplies,Storage,340,46,0.09,CUST-1018
ORD-10019,2025-01-21,Central,Consumer,Technology,Phones,860,170,0.11,CUST-1019
ORD-10020,2025-01-22,South,Corporate,Furniture,Chairs,620,66,0.17,CUST-1020
ORD-10021,2025-01-23,East,Consumer,Office Supplies,Paper,230,39,0.05,CUST-1001
ORD-10022,2025-01-24,West,Corporate,Technology,Accessories,360,50,0.10,CUST-1002
ORD-10023,2025-01-25,Central,Home Office,Furniture,Tables,880,34,0.29,CUST-1003
ORD-10024,2025-01-26,South,Consumer,Office Supplies,Binders,310,34,0.10,CUST-1004
ORD-10025,2025-01-27,East,Corporate,Technology,Copiers,1410,320,0.04,CUST-1005
ORD-10026,2025-01-28,West,Consumer,Furniture,Bookcases,540,46,0.19,CUST-1006
ORD-10027,2025-02-01,Central,Corporate,Office Supplies,Storage,380,55,0.08,CUST-1007
ORD-10028,2025-02-02,South,Home Office,Technology,Phones,920,190,0.09,CUST-1008
ORD-10029,2025-02-03,East,Consumer,Furniture,Chairs,470,60,0.13,CUST-1009
ORD-10030,2025-02-04,West,Corporate,Office Supplies,Paper,240,40,0.04,CUST-1010
ORD-10031,2025-02-05,Central,Consumer,Technology,Accessories,400,58,0.08,CUST-1011
ORD-10032,2025-02-06,South,Corporate,Furniture,Tables,970,42,0.28,CUST-1012
ORD-10033,2025-02-07,East,Home Office,Office Supplies,Binders,320,36,0.10,CUST-1013
ORD-10034,2025-02-08,West,Consumer,Technology,Copiers,1360,305,0.05,CUST-1014
ORD-10035,2025-02-09,Central,Corporate,Furniture,Bookcases,610,58,0.15,CUST-1015
ORD-10036,2025-02-10,South,Consumer,Office Supplies,Storage,350,49,0.09,CUST-1016
ORD-10037,2025-02-11,East,Corporate,Technology,Phones,1010,220,0.08,CUST-1017
ORD-10038,2025-02-12,West,Home Office,Furniture,Chairs,500,61,0.12,CUST-1018
ORD-10039,2025-02-13,Central,Consumer,Office Supplies,Paper,250,41,0.04,CUST-1019
ORD-10040,2025-02-14,South,Corporate,Technology,Accessories,390,52,0.09,CUST-1020
ORD-10041,2025-02-15,East,Consumer,Furniture,Tables,930,36,0.30,CUST-1001
ORD-10042,2025-02-16,West,Corporate,Office Supplies,Binders,305,33,0.11,CUST-1002
ORD-10043,2025-02-17,Central,Home Office,Technology,Copiers,1280,285,0.06,CUST-1003
ORD-10044,2025-02-18,South,Consumer,Furniture,Bookcases,570,50,0.18,CUST-1004
ORD-10045,2025-02-19,East,Corporate,Office Supplies,Storage,360,51,0.08,CUST-1005
ORD-10046,2025-02-20,West,Consumer,Technology,Phones,890,182,0.10,CUST-1006
ORD-10047,2025-02-21,Central,Corporate,Furniture,Chairs,650,70,0.16,CUST-1007
ORD-10048,2025-02-22,South,Home Office,Office Supplies,Paper,270,44,0.05,CUST-1008
ORD-10049,2025-02-23,East,Consumer,Technology,Accessories,420,62,0.07,CUST-1009
ORD-10050,2025-02-24,West,Corporate,Furniture,Tables,990,45,0.27,CUST-1010
